"bi","cawt","form","hyd","msp10_sp","msp12_sp","msp15_sp","msp18_sp","msp19_sp","msp20_sp","msp24_sp","msp33_sp","msp3_sp","msp9_sp","root_barn","sowt","sp","tuni","miniacina_miniacea_.r.","miniacina_sp_.a.","miniacina_sp_.j.","parasmittina_margaritata","msp12_bryo","msp14_bryo","smittoidea_cautela","watersipora_subtorquata","smittipora_harmeriana","disporella_novaehollandiae","msp5_bryo","crisia_elongata","tubulipora_sp.","biofr","biofv","cyanob","msp10_ascc","msp10_ascs","msp11_ascs","msp15_ascc","msp16_ascc","msp1_ascc","msp1_ascs","msp22_ascc","msp24_ascc","msp2_ascc","msp2_ascs","msp3_ascs","msp4_ascc","msp5_ascc","msp5_ascs","msp6_ascc","msp6_ascs","msp8_ascc","msp9_ascc","msp9_ascs","X_brup","cca","grup","rdup"
0,10.715,0,14.285,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,0,25,0,0,0,0,7.143,0,3.572,0,0,0,10.715,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.143,0,0,0,0,0,0,14.285,0,0
0,28.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,23.81,0,0,0,4.762,0,0,0,0,0,4.762,0,0,0,0,0,0,0,0,4.762,0,0,0,14.286,0,0
0,6.061,0,12.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.031,0,27.272,0,0,0,0,0,0,3.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.031,0,0,0,0,0,0,45.454,0,0
4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,13.043,0,0,0,0,0,39.13,0,0,0,0,0,0,8.697,0,0,0,17.391,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.043,0,0
0,25.927,0,3.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703,0,0,0,0,0,0,0,11.112,3.703,0,11.112,3.703,0,0,0,0,0,0,0,0,0,0,0,3.703,0,0,0,0,0,0,0,0,0,0,33.333,0,0
0,7.143,0,14.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285,0,0,21.43,7.143,0,0,14.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0
0,0,0,27.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.212,0,0,0,0,0,0,0,0,0,0,21.212,3.03,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.243,0,0
0,0,0,4.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.525,0,0,0,0,0,0,4.761,0,0,0,14.286,9.525,0,0,28.571,0,0,0,0,0,0,9.525,0,0,0,0,0,0,0,0,0,0,0,0,19.047,0,0
4.167,12.5,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,4.167,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,54.167,0,0
0,11.111,0,14.813,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,0,0,0,0,0,0,0,0,0,22.223,0,0,7.407,18.519,0,3.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.519,0,0
