"cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r.","cyanob","biofv","bi","miniacina_sp_.j.","disporella_novaehollandiae","msp3_sp","sp","msp15_sp","msp12_sp","sowt","tubulipora_sp.","msp20_sp","msp1_ascs","crisia_elongata","msp14_bryo","msp4_ascc","msp9_sp","miniacina_sp_.a.","rdup","msp15_ascc","msp11_ascc","form","msp8_ascc","msp1_ascc","watersipora_subtorquata"
33.333,5.129,12.821,20.513,0,0,5.129,2.564,0,10.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.455,31.82,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.932,6.897,10.344,20.69,13.792,3.448,3.448,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.144,10.715,0,0,3.571,3.571,3.571,0,0,0,0,0,0,0,17.857,0,0,0,0,0,0,0,0,0,0,0,0,3.571,0,0,0
50.001,5.264,7.894,2.632,7.894,7.894,0,7.894,0,0,2.632,2.632,0,0,0,0,0,0,0,0,0,0,0,5.264,0,0,0,0,0,0,0
22.728,54.543,4.546,0,0,0,0,4.546,0,0,0,0,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.077,19.231,11.538,11.538,11.538,3.846,3.846,7.692,0,0,0,3.846,0,3.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.452,0,9.091,0,9.091,4.546,0,9.091,0,4.546,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0,9.091,0
34.374,6.25,12.499,6.25,3.126,18.75,0,9.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,3.126
31.998,15.999,4.001,4.001,4.001,4.001,4.001,4.001,0,0,4.001,0,0,0,0,0,0,0,0,0,0,0,0,4.001,0,0,0,0,0,15.999,0
40.624,9.375,12.499,3.125,6.25,0,3.125,3.125,9.375,0,0,0,0,0,0,0,0,0,9.375,0,0,3.125,0,0,0,0,0,0,0,0,0
32.257,6.452,6.452,3.226,0,16.128,0,6.452,0,0,0,0,0,0,3.226,3.226,3.226,0,0,0,0,0,0,0,0,0,0,0,0,3.226,3.226
32.5,22.5,2.5,15,5,15,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
32.142,14.286,14.286,0,0,7.142,0,0,3.572,0,0,0,0,0,0,17.857,0,0,0,0,0,0,0,3.572,0,0,0,0,0,3.572,0
39.474,2.632,7.895,2.632,10.526,2.632,0,5.263,2.632,0,0,0,0,0,0,13.158,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0
48.485,3.029,3.029,0,6.062,24.244,0,6.062,0,0,0,3.029,0,0,3.029,0,0,0,0,0,0,0,0,0,0,0,0,3.029,0,0,0
20.833,12.5,8.333,16.667,4.167,6.25,0,2.083,2.083,0,0,0,0,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.587,58.619,3.449,0,3.449,6.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.231,7.692,7.692,0,26.923,34.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.621,29.73,0,0,2.703,40.541,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0,0,0,0,0
26.087,34.783,2.174,0,4.347,28.261,0,4.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.412,29.412,0,0,11.765,0,5.882,0,0,0,0,5.882,0,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.355,16.129,0,29.032,9.677,0,3.226,0,0,0,3.226,0,0,6.452,3.226,0,0,0,3.226,0,0,3.226,0,0,0,0,0,0,3.226,0,0
29.73,18.919,24.324,2.703,8.108,0,0,8.108,0,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,34.999,2.5,15,10,0,0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
40,25,5,0,0,5,0,20.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
